,subject_id,condition,rep,lvl0_start,lvl1_start,lvl2_start,lvl3_start,lvl4_start,lvl5_start,lvl6_start,lvl7_start,lvl7_end
117,85824,NE,1,-0.008,41.992,62.992,76.992,106.992,123.992,151.992,168.992,186.992
118,85824,NE_empty,0,-0.001,45.999,67.999,85.999,115.999,135.999,164.999,187.999,207.999
119,85824,NE_empty,1,-0.004,44.996,63.996,80.996,109.996,127.996,155.996,175.996,195.996
120,96755,ES,0,-0.011,49.989,70.989,95.989,130.989,149.989,181.989,200.989,221.989
121,96755,ES,1,-0.001,47.999,70.999,93.999,126.999,143.999,174.999,190.999,210.999
122,96755,ES_empty,0,-0.005,50.995,75.995,96.995,134.995,154.995,191.995,209.995,233.995
123,96755,ES_empty,1,-0.019,47.981,69.981,92.981,123.981,140.981,171.981,188.981,206.981
124,96755,NE,0,-0.008,48.992,76.992,102.992,145.992,163.992,194.992,211.992,232.992
125,96755,NE,1,-0.007,45.993,68.993,92.993,128.993,148.993,182.993,200.993,219.993
126,96755,NE_empty,0,-0.006,47.994,71.994,92.994,126.994,145.994,179.994,198.994,222.994
127,96755,NE_empty,1,-0.018,46.982,69.982,92.982,126.982,143.982,176.982,194.982,212.982
128,3283,ES,0,-0.004,43.996,67.996,94.996,125.996,145.996,175.996,203.996,231.996
129,3283,ES,1,-0.019,45.981,68.981,90.981,118.981,135.981,165.981,191.981,208.981
130,3283,ES_empty,0,-0.014,46.986,83.986,126.986,160.986,181.986,218.986,219.986,219.986
131,3283,ES_empty,1,-0.001,56.999,81.999,115.999,145.999,165.999,198.999,219.999,250.999
132,3283,NE,0,-0.005,58.995,82.995,103.995,133.995,153.995,183.995,211.995,227.995
133,3283,NE,1,-0.013,55.987,76.987,105.987,135.987,151.987,179.987,196.987,224.987
134,3283,NE_empty,0,-0.01,45.99,69.99,92.99,127.99,146.99,178.99,201.99,223.99
135,3283,NE_empty,1,-0.008,53.992,77.992,112.992,141.992,156.992,185.992,204.992,226.992
136,21234,ES,0,-0.004,48.996,77.996,104.996,146.996,172.996,210.996,236.996,259.996
137,21234,ES,1,-0.011,48.989,75.989,96.989,133.989,152.989,178.989,198.989,220.989
138,21234,ES_empty,0,-0.002,48.998,76.998,100.998,137.998,159.998,192.998,214.998,238.998
139,21234,ES_empty,1,-0.016,50.984,78.984,102.984,142.984,168.984,199.984,225.984,250.984
140,21234,NE,0,-0.01,48.99,74.99,95.99,130.99,152.99,186.99,207.99,233.99
141,21234,NE,1,-0.004,52.996,78.996,103.996,142.996,165.996,197.996,218.996,241.996
142,21234,NE_empty,0,-0.011,52.989,80.989,109.989,150.989,176.989,211.989,236.989,262.989
143,21234,NE_empty,1,-0.005,51.995,80.995,107.995,146.995,171.995,205.995,230.995,255.995
144,23197,ES,0,-0.01,42.99,58.99,75.99,102.99,119.99,145.99,162.99,178.99
145,23197,ES,1,-0.004,43.996,63.996,77.996,103.996,118.996,145.996,160.996,176.996
146,23197,ES_empty,0,-0.014,46.986,65.986,82.986,109.986,126.986,153.986,170.986,187.986
147,23197,ES_empty,1,-3.43,38.57,57.57,74.57,101.57,117.57,143.57,160.57,177.57
148,23197,NE,0,-0.009,41.991,59.991,75.991,102.991,116.991,143.991,159.991,175.991
149,23197,NE,1,-0.013,43.987,60.987,76.987,106.987,122.987,149.987,165.987,182.987
150,23197,NE_empty,0,-0.013,42.987,61.987,80.987,109.987,125.987,152.987,168.987,184.987
151,23197,NE_empty,1,-0.014,40.986,58.986,73.986,100.986,114.986,141.986,157.986,173.986
152,23487,ES,0,-0.015,41.985,59.985,79.985,107.985,123.985,152.985,166.985,183.985
153,23487,ES,1,-0.002,41.998,61.998,79.998,107.998,118.998,146.998,157.998,172.998
154,23487,ES_empty,0,-0.015,42.985,60.985,76.985,102.985,118.985,146.985,162.985,179.985
155,23487,ES_empty,1,-0.017,43.983,64.983,81.983,110.983,125.983,153.983,166.983,182.983
156,23487,NE,0,-0.004,41.996,59.996,76.996,105.996,120.996,149.996,161.996,180.996
157,23487,NE,1,-0.019,42.981,62.981,79.981,108.981,121.981,148.981,160.981,176.981
158,23487,NE_empty,0,-0.019,42.981,63.981,80.981,109.981,125.981,154.981,171.981,188.981
159,23487,NE_empty,1,-0.015,42.985,61.985,78.985,107.985,123.985,152.985,166.985,184.985
160,26084,ES,0,-0.015,44.985,65.985,83.985,116.985,134.985,165.985,182.985,203.985
161,26084,ES,1,-0.013,46.987,70.987,89.987,121.987,138.987,168.987,185.987,206.987
162,26084,ES_empty,0,-0.002,47.998,68.998,89.998,122.998,140.998,170.998,188.998,207.998
163,26084,ES_empty,1,-0.007,46.993,66.993,83.993,120.993,138.993,170.993,190.993,210.993
164,26084,NE,0,-0.007,47.993,68.993,92.993,125.993,140.993,172.993,189.993,210.993
165,26084,NE,1,-0.009,49.991,71.991,90.991,129.991,144.991,171.991,190.991,210.991
166,26084,NE_empty,0,-0.015,45.985,68.985,87.985,122.985,140.985,175.985,193.985,215.985
167,26084,NE_empty,1,-0.0,52.0,73.0,94.0,132.0,150.0,182.0,201.0,220.0
168,53416,ES,0,-0.014,43.986,65.986,84.986,115.986,131.986,161.986,180.986,200.986
169,53416,ES,1,-0.013,41.987,61.987,78.987,107.987,124.987,152.987,169.987,190.987
170,53416,ES_empty,0,-0.001,48.999,66.999,84.999,116.999,132.999,158.999,177.999,195.999
171,53416,ES_empty,1,-0.01,41.99,62.99,78.99,108.99,126.99,155.99,172.99,191.99
172,53416,NE,0,-0.002,42.998,63.998,82.998,113.998,130.998,160.998,182.998,200.998
173,53416,NE,1,-0.01,40.99,59.99,78.99,107.99,123.99,148.99,166.99,182.99
174,53416,NE_empty,0,-0.002,43.998,65.998,86.998,120.998,138.998,168.998,185.998,202.998
175,53416,NE_empty,1,-0.011,43.989,65.989,85.989,114.989,131.989,161.989,179.989,203.989
176,55723,ES,0,-0.018,44.982,67.982,87.982,119.982,137.982,169.982,191.982,213.982
177,55723,ES,1,-0.01,45.99,65.99,86.99,120.99,138.99,167.99,185.99,205.99
178,55723,ES_empty,0,-0.009,45.991,68.991,91.991,126.991,150.991,182.991,202.991,225.991
179,55723,ES_empty,1,-0.004,43.996,65.996,84.996,116.996,134.996,166.996,185.996,206.996
